doc_idx,lora,qlora,dora
0,0.33333333333333337,0.35238095238095235,0.324074074074074
1,0.3541666666666667,0.4299065420560748,0.3434343434343434
2,0.3063583815028902,0.20930232558139536,0.3063583815028902
3,0.15630550621669628,0.1494661921708185,0.15985790408525757
4,0.2033898305084746,0.1911262798634812,0.19931271477663232
5,0.23282442748091603,0.2332695984703633,0.23954372623574144
6,0.3444444444444445,0.3575418994413408,0.3333333333333333
7,0.23770491803278687,0.17475728155339806,0.23111111111111113
8,0.4588744588744589,0.46491228070175433,0.45217391304347826
9,0.4280442804428044,0.4206642066420664,0.4104477611940298
10,0.5252525252525253,0.5,0.5252525252525253
11,0.24590163934426232,0.25210084033613445,0.24896265560165978
12,0.2830188679245283,0.23772609819121449,0.28297362110311747
13,0.47619047619047616,0.4210526315789474,0.47619047619047616
14,0.4021164021164021,0.40860215053763443,0.45595854922279794
15,0.20634920634920637,0.20689655172413793,0.20634920634920637
16,0.5774647887323943,0.5751633986928105,0.5833333333333334
17,0.3053435114503817,0.28277634961439585,0.31392405063291134
18,0.291970802919708,0.30769230769230765,0.30769230769230765
19,0.5077720207253886,0.3472222222222222,0.48484848484848486
20,0.317907444668008,0.3151515151515151,0.3253012048192771
21,0.3141361256544502,0.25252525252525254,0.3036649214659686
22,0.29651162790697677,0.28405797101449276,0.2832369942196532
23,0.2,0.27665706051873196,0.22807017543859648
24,0.2180094786729858,0.2380952380952381,0.22009569377990434
25,0.28378378378378377,0.26666666666666666,0.2585034013605442
26,0.4848484848484848,0.5818181818181818,0.47560975609756095
27,0.49206349206349204,0.58,0.5279999999999999
28,0.1761904761904762,0.18396226415094338,0.18912529550827423
29,0.3333333333333333,0.3410852713178295,0.3333333333333333
30,0.454054054054054,0.42780748663101603,0.42780748663101603
31,0.46590909090909094,0.4293193717277487,0.4804469273743017
32,0.18995929443690637,0.18132611637347767,0.18995929443690637
33,0.3443708609271523,0.38709677419354843,0.4121212121212121
34,0.3783783783783784,0.3835616438356164,0.3783783783783784
35,0.16000000000000003,0.22043010752688172,0.21739130434782608
36,0.2285714285714286,0.2171945701357466,0.2100456621004566
37,0.45762711864406774,0.4069767441860465,0.40236686390532544
38,0.34594594594594597,0.34782608695652173,0.3141361256544503
39,0.21220159151193635,0.1802325581395349,0.22105263157894736
40,0.24242424242424243,0.22073578595317728,0.26578073089700993
41,0.2696629213483146,0.31794871794871793,0.2584269662921348
42,0.2787456445993031,0.2846975088967972,0.296028880866426
43,0.6732673267326734,0.4691358024691358,0.5054945054945055
44,0.6142857142857143,0.6573426573426573,0.6099290780141844
45,0.3561643835616438,0.4324324324324324,0.4503311258278146
46,0.22151898734177217,0.2285714285714286,0.2006688963210702
47,0.24375,0.2616822429906542,0.2557377049180328
48,0.5714285714285714,0.6518518518518519,0.6012269938650308
49,0.17577197149643706,0.1963470319634703,0.1796690307328605
50,0.23030303030303031,0.2547770700636942,0.2526315789473684
51,0.483221476510067,0.7413793103448276,0.3364485981308411
52,0.2583979328165375,0.20472440944881887,0.22459893048128343
53,0.4067796610169491,0.4132231404958678,0.4067796610169491
54,0.25,0.25,0.25373134328358204
55,0.30414746543778803,0.3112128146453089,0.30875576036866365
56,0.5494505494505494,0.5454545454545454,0.5297297297297298
57,0.3,0.23030303030303031,0.2360248447204969
58,0.11320754716981131,0.007575757575757576,0.10276679841897234
59,0.37583892617449666,0.3424657534246575,0.37583892617449666
60,0.4132231404958677,0.3865546218487395,0.3884297520661157
